ID,Location,Description,Weapon,Post
123,100 S EXETER ST,O,HANDS,211
124,2500 SAINT PAUL ST,O,OTHER,512
125,2000 HARMAN AVE,I,OTHER,831
126,1900 HARMAN AVE,O,OTHER,831
127,3700 MANCHESTER AVE,O,OTHER,614
128,200 ST MATTHEWS ST,I,OTHER,211
129,3700 BOSTON ST,I,OTHER,233
130,1200 N LONGWOOD ST,O,KNIFE,814
131,700 E 36TH ST,I,OTHER,543
132,600 E 33RD ST,I,OTHER,513
133,5400 RADECKE AVE,O,OTHER,444
134,400 E PRATT ST,I,OTHER,112
135,3500 DENISON RD,O,FIREARM,643
136,3500 DENISON RD,O,FIREARM,643
137,1400 WARNER ST,O,OTHER,941
138,2600 E FEDERAL ST,O,OTHER,332
139,400 N BROADWAY,I,OTHER,321
140,2700 WASHINGTON BLVD,I,HANDS,831
141,PAUL PL & E SARATOGA ST,O,OTHER,111
142,2100 MOUNT ROYAL TER,O,OTHER,133
143,5900 BELLONA AVE,O,OTHER,523
144,200 E MONTGOMERY ST,O,OTHER,942
145,3300 FLEET ST,O,OTHER,232
146,2400 BANGER ST,I,HANDS,923
147,2400 BANGER ST,I,OTHER,923
148,LOMBARD ST & S CENTRAL AV,O,OTHER,212
149,1200 S CAREY ST,O,OTHER,932
150,1400 CHERRY ST,I,HANDS,911
151,2200 E BIDDLE ST,O,OTHER,331
152,100 W 25TH ST,O,OTHER,512
153,2700 W PATAPSCO AVE,O,HANDS,923
154,200 W CHASE ST,O,OTHER,141
155,2500 MARYLAND AVE,O,OTHER,512
156,900 W BALTIMORE ST,I,OTHER,931
157,1600 E EAGER ST,O,FIREARM,313
158,0 N STREEPER ST,O,FIREARM,222
159,100 N ROSE ST,O,OTHER,222
160,2200 GUILFORD AVE,I,HANDS,514
161,900 MCKEAN AVE,O,OTHER,743
162,WASHINGTON ST & E PRATT ST,O,OTHER,212
163,1900 HOMEWOOD AVE,O,OTHER,342
164,2500 SAINT PAUL ST,O,OTHER,512
165,200 N LINWOOD AVE,I,OTHER,221
166,900 N MONROE ST,O,HANDS,722
167,4000 ELMORA AVE,O,OTHER,432
168,0 S GREENE ST,O,HANDS,121
169,1900 RUXTON AVE,I,OTHER,731
170,2300 EASTERN AVE,O,HANDS,221
171,500 S NEWKIRK ST,O,KNIFE,242
172,400 N PACA ST,I,KNIFE,111
173,0 N PULASKI ST,O,HANDS,842
174,100 HOPKINS PL,O,OTHER,113
175,1900 W FAYETTE ST,O,HANDS,714
176,3100 E MONUMENT ST,I,HANDS,224
177,200 N DALLAS CT,I,OTHER,212
178,ST & W READ ST,O,HANDS,141
179,6300 EASTERN AVE,I,OTHER,242
180,2000 E FAYETTE ST,O,OTHER,212
181,3600 E LOMBARD ST,I,HANDS,223
182,ST & S SCHROEDER ST,O,HANDS,931
183,900 W PATAPSCO AVE,I,OTHER,922
184,1300 PONTIAC AVE,I,HANDS,911
185,1300 PONTIAC AVE,I,HANDS,911
186,0 S WOLFE ST,O,OTHER,212
187,1500 MADISON AVE,O,OTHER,132
188,1000 HARLEM AVE,I,HANDS,713
189,ST & S CAROLINE ST,O,OTHER,213
190,500 SANFORD PL,I,OTHER,131
191,500 S MONROE ST,I,OTHER,934
192,2600 HURON ST,I,OTHER,921
193,300 S PAYSON ST,I,OTHER,934
194,4500 BOWLEYS LN,O,OTHER,442
195,600 LINNARD ST,I,HANDS,844
196,1000 CEDARCROFT RD,O,OTHER,522
197,100 N BELNORD AVE,O,HANDS,222
198,100 N BELNORD AVE,O,HANDS,222
199,2500 N CHARLES ST,O,OTHER,512
200,1500 WOOD HEIGHTS AVE,I,HANDS,541
201,3600 GELSTON DR,O,OTHER,844
202,2600 LAURETTA AVE,O,OTHER,721
203,400 E LEXINGTON ST,O,OTHER,111
204,3600 W GARRISON AVE,I,FIREARM,613
205,2000 W SARATOGA ST,I,HANDS,714
206,1500 62ND ST,I,OTHER,441
207,4900 FRANKFORD AVE,O,OTHER,443
208,4900 FRANKFORD AVE,O,OTHER,443
209,3600 W GARRISON AV,O,FIREARM,613
210,4100 GRANITE AVE,O,OTHER,425
211,500 E PATAPSCO AVE,I,OTHER,913
212,3900 FAIRFAX RD,I,OTHER,642
213,6100 HOLABIRD AVE,I,OTHER,243
214,PACA ST & HOLLINS FERRY RD,O,OTHER,921
215,4400 CHERRY BLOSSOM PL,I,OTHER,433
216,3400 BELAIR RD,I,HANDS,432
217,3800 SINCLAIR LN,I,OTHER,432
218,AV & N CAROLINE ST,O,OTHER,313
219,3000 W NORTH AVE,O,OTHER,811
220,5000 SINCLAIR LN,I,OTHER,443
221,200 S CENTRAL AVE,O,OTHER,211
222,1300 CLARKSON ST,I,OTHER,942
223,1300 CLARKSON ST,I,OTHER,942
224,1200 LIGHT ST,O,OTHER,942
225,2100 JEFFERSON ST,I,OTHER,321
226,6000 PARK HEIGHTS AVE,O,OTHER,632
227,1500 LAKESIDE AVE,O,OTHER,412
228,700 N CARROLLTON AVE,O,OTHER,713
229,,I,OTHER,511
230,3900 OAKFORD AVE,I,OTHER,642
231,1900 N CHESTER ST,O,OTHER,331
232,400 E PRATT ST,I,OTHER,112
233,3200 PIEDMONT AVE,I,OTHER,641
234,5000 E MONUMENT ST,O,OTHER,333
235,0 W 20TH ST,I,OTHER,141
236,1000 DARTMOUTH RD,I,HANDS,522
237,2300 RIGGS AVE,I,OTHER,723
238,5500 Bowleys Ln,I,HANDS,443
239,500 N HILTON ST,I,OTHER,843
240,4200 PARKSIDE DR,I,OTHER,442
241,1400 LIMIT AVE,I,OTHER,414
242,500 ALLENDALE ST,O,HANDS,843
243,5700 CEDONIA AVE,I,HANDS,444
244,MONTFORD AV & E FAYETTE ST,O,OTHER,221
245,900 S CATON AVE,I,OTHER,832
246,100 N LAKEWOOD AVE,O,OTHER,222
247,100 E LOMBARD ST,O,OTHER,111
248,4200 BONNER RD,I,HANDS,641
249,2400 AISQUITH ST,O,OTHER,342
250,2400 FREDERICK AVE,O,OTHER,841
251,800 N HOWARD ST,O,OTHER,142
252,5700 PULASKI HWY,O,OTHER,241
253,1000 W 41ST ST,I,OTHER,541
254,3800 ERDMAN AVE,I,HANDS,432
255,2800 BAKER ST,I,HANDS,813
256,1500 N DUKELAND ST,O,HANDS,813
257,200 S EAST AVE,I,OTHER,231
258,600 N CALVERT ST,O,OTHER,142
259,200 N MONROE ST,O,OTHER,711
260,2700 TALBOT RD,O,OTHER,641
261,900 MONTPELIER ST,O,OTHER,513
262,6400 ELRAY DR,I,OTHER,632
263,3200 WILKENS AVE,I,OTHER,832
264,2500 MARBOURNE AVE,O,OTHER,923
265,600 W 33RD ST,I,OTHER,531
266,800 N EUTAW ST,I,OTHER,143
267,1200 S PONCA ST,I,OTHER,233
268,1800 E PRATT ST,O,OTHER,212
269,900 N CALHOUN ST,I,OTHER,743
270,4900 GUNTHER AVE,I,OTHER,443
271,2500 SOUTHDENE AVE,O,FIREARM,923
272,3000 E MADISON ST,O,OTHER,323
273,2300 JAMES ST,O,OTHER,831
274,200 N CHARLES ST,I,KNIFE,111
275,300 TYRONE ST,O,FIREARM,842
276,2200 N FULTON AVE,I,KNIFE,732
277,LOMBARD ST & S WOLFE ST,O,OTHER,212
278,2900 FENDALL RD,O,OTHER,622
279,2600 WILKENS AVE,I,OTHER,841
280,4900 PEMBRIDGE AVE,I,OTHER,614
281,100 W LEXINGTON ST,I,OTHER,111
282,5500 Bowleys Ln,I,HANDS,443
283,0 LIGHT ST,I,OTHER,111
284,6000 YORK RD,O,FIREARM,522
285,400 FREEMAN ST,O,OTHER,913
286,2400 SEABURY RD,I,OTHER,922
287,400 DREW ST,O,OTHER,241
288,2700 HARLEM AVE,I,OTHER,721
289,2200 PARK AVE,O,OTHER,133
290,1400 RIVERSIDE AVE,O,OTHER,943
291,400 ANNABEL AVE,I,HANDS,913
292,5200 YORK RD,I,OTHER,521
293,4900 REISTERSTOWN RD,O,OTHER,613
294,5500 VALIQUET AVE,O,OTHER,444
295,3900 CHATHAM RD,O,FIREARM,621
296,1400 DUNDALK AVE,O,OTHER,243
297,700 E MONUMENT ST,I,OTHER,312
298,5400 YORK RD,I,OTHER,523
299,1500 62ND ST,I,OTHER,441
300,1400 KEY HWY,I,OTHER,943
301,5300 YORK RD,O,HANDS,523
302,1400 MASON ST,I,OTHER,132
303,3400 CLIFTON AVE,I,OTHER,812
304,1700 WAVERLY WAY,O,OTHER,415
305,0 BENKERT AVE,I,HANDS,842
306,4800 HAZELWOOD AVE,O,OTHER,445
307,200 STONY RUN LN,O,OTHER,541
308,AV & BELAIR RD,O,OTHER,425
309,4200 SAINT GEORGES AVE,O,OTHER,542
310,800 LINDEN AVE,I,OTHER,142
311,1800 EUTAW PL,O,HANDS,132
312,1500 LOCHWOOD RD,O,OTHER,412
313,3900 6TH ST,I,OTHER,913
314,2600 MADISON AVE,I,OTHER,133
315,2500 W LANVALE ST,I,OTHER,721
316,200 N CURLEY ST,I,HANDS,224
317,3700 WILKENS AVE,O,OTHER,832
318,3700 ELMLEY AVE,O,OTHER,432
319,900 APPLETON ST,I,HANDS,722
320,3700 CLAREMONT ST,O,KNIFE,231
321,200 S BROADWAY,O,OTHER,213
322,5100 REISTERSTOWN RD,I,FIREARM,613
323,0 N POPPLETON ST,I,HANDS,712
324,900 SEAGULL AVE,O,OTHER,922
325,900 SEAGULL AVE,O,HANDS,922
326,4100 W GARRISON AV,I,FIREARM,623
327,5800 JONQUIL AVE,O,OTHER,632
328,2000 HARFORD RD,I,OTHER,342
329,CAROLINE ST & E LOMBARD ST,I,FIREARM,212
330,5600 O''DONNELL ST,I,OTHER,233
331,4100 W BELVEDERE AVE,O,OTHER,623
332,4900 EASTERN AV,I,HANDS,242
333,100 W OSTEND ST,I,OTHER,943
334,3700 WOODBINE AVE,O,OTHER,622
335,5500 ELDERON AVE,O,OTHER,623
336,2400 PICKERING DR,O,HANDS,423
337,3500 DUDLEY AVE,I,OTHER,432
338,3600 BOWERS AVE,I,OTHER,623
339,1300 PENTWOOD RD,O,OTHER,413
340,1700 E LANVALE ST,O,OTHER,331
341,1600 WHETSTONE WAY,I,OTHER,943
342,5500 PILGRIM RD,I,OTHER,423
343,AV & HAMILTON AV,O,FIREARM,444
344,500 S BROADWAY,I,OTHER,213
345,200 W BALTIMORE ST N,O,OTHER,111
346,6200 PLYMOUTH RD,I,OTHER,423
347,300 FOLCROFT ST,O,OTHER,241
348,6700 REISTERSTOWN RD,I,OTHER,631
349,5300 FRANKFORD AVE,O,OTHER,444
350,2100 TUCKER LN,I,FIREARM,821
351,3500 WILKENS AVE,I,OTHER,832
352,2400 PERRING MANOR RD,I,OTHER,423
353,6200 REISTERSTOWN RD,I,OTHER,632
354,3100 Swann Dr,I,OTHER,531
355,2400 S HANOVER ST,O,OTHER,943
356,2400 CHRISTIAN ST,I,OTHER,841
357,3000 MALLVIEW RD,O,KNIFE,923
358,5400 JONQUIL AVE,I,OTHER,633
359,1000 W BALTIMORE ST,O,OTHER,712
360,200 S EDEN ST,O,OTHER,212
361,4300 MARBLE HALL RD,O,OTHER,413
362,2700 OVERLAND AVE,I,OTHER,421
363,4300 WAKEFIELD RD,O,OTHER,641
364,600 S CHAPELGATE LN,I,HANDS,833
365,500 N KENWOOD AVE,O,OTHER,221
366,6000 AMBERWOOD RD,O,OTHER,443
367,3600 E FAYETTE ST,O,HANDS,223
368,6500 EASTERN AVE,O,OTHER,241
369,6800 HAMLET AVE,O,FIREARM,423
370,2600 WILKENS AVE,I,OTHER,841
371,600 W LOMBARD ST,O,OTHER,121
372,1600 CHERRY ST,I,HANDS,911
373,3500 GREENMOUNT AVE,I,OTHER,543
374,4100 PRIOR AVE,O,OTHER,422
375,1200 S PONCA ST,I,OTHER,233
376,600 N CHESTER ST,I,OTHER,321
377,700 E PATAPSCO AVE,I,HANDS,912
378,1000 WEBB CT,O,OTHER,312
379,500 E PATAPSCO AVE,O,OTHER,913
380,500 E PATAPSCO AVE,O,OTHER,913
381,ELLWOOD AV & JEFFERSON ST,O,OTHER,224
382,100 ROCHESTER PL,I,OTHER,222
383,6600 HARFORD RD,I,OTHER,424
384,100 E HAMBURG ST,O,OTHER,942
385,LINWOOD AV & E PRATT ST,O,OTHER,222
386,MONROE ST & GWYNNS FALLS PY,O,FIREARM,731
387,6100 SHIIPVIEW WAY,O,HANDS,243
388,3500 FOSTER AVE,O,OTHER,232
389,AV & HARFORD RD,O,OTHER,431
390,2300 GWYNNS FALLS PKWY,O,FIREARM,731
391,LAKEWOOD AV & E BALTIMORE ST,O,OTHER,222
392,2800 W NORTH AVE,O,OTHER,811
393,6900 CHAMBERS RD,O,OTHER,423
394,100 S HAVEN ST,O,OTHER,223
395,0 S PATTERSON PARK AVE,I,OTHER,212
396,4400 BELAIR RD,O,OTHER,442
397,500 W PRATT ST,I,OTHER,941
398,500 W PRATT ST,O,HANDS,941
399,200 N ROSE ST,O,HANDS,221
400,STRICKER ST & W BALTIMORE ST,O,OTHER,711
401,200 DENISON ST,O,OTHER,843
402,6100 FAIRDEL AVE,O,OTHER,425
403,1900 W FRANKLIN ST,O,HANDS,722
404,1100 MOSHER ST,O,OTHER,743
405,1400 MERIDENE DR,O,OTHER,414
406,2600 NORTHSHIRE DR,O,HANDS,923
407,3900 FAIRFAX RD,I,HANDS,642
408,3500 HARFORD RD,O,OTHER,431
409,100 N MONTFORD AVE,O,OTHER,221
410,2700 OSWEGO AVE,O,HANDS,614
411,2700 BERYL AVE,I,HANDS,323
412,2900 AUCHENTOROLY TER,O,OTHER,732
413,900 SEAGULL AVE,I,HANDS,922
414,2900 HILLSDALE RD,O,OTHER,622
415,100 E 28TH ST,O,OTHER,512
416,5500 KENNISON AVE,O,OTHER,623
417,400 S STRICKER ST,O,OTHER,935
418,800 PARK AVE,I,OTHER,142
419,2700 SPELMAN RD,O,OTHER,922
420,4200 PRIMROSE AVE,O,OTHER,631
421,100 N WASHINGTON ST,O,OTHER,212
422,5700 DENWOOD AVE,I,OTHER,443
423,300 N MARTIN LUTHER KING JR BLVD,I,HANDS,121
424,500 N STREEPER ST,I,OTHER,221
425,4300 BUCHANAN AVE,I,OTHER,541
426,0 N ELLWOOD AVE,O,OTHER,222
427,2000 CLIFTWOOD AVE,I,OTHER,331
428,2500 SAINT PAUL ST,I,OTHER,512
429,2400 DORTON CT,O,HANDS,921
430,600 S EXETER ST,I,OTHER,211
431,600 S EXETER ST,I,OTHER,211
432,2300 LINDEN AVE,I,OTHER,133
433,2000 BELAIR RD,O,OTHER,431
434,1900 ARGONNE DR,O,OTHER,421
435,5400 FAIR OAKS AVE,I,OTHER,423
436,1500 GORSUCH AV,O,FIREARM,411
437,100 W LEXINGTON ST,I,OTHER,111
438,5100 PARK HEIGHTS AVE,O,FIREARM,614
439,3500 CLIFTMONT AVE,I,OTHER,432
440,900 N FULTON AVE,O,OTHER,743
441,1100 W NORTH AVE,O,OTHER,131
442,0 S WOLFE ST,O,OTHER,212
443,0 S WOLFE ST,O,OTHER,212
444,0 S WOLFE ST,O,OTHER,212
445,0 S WOLFE ST,O,OTHER,212
446,300 SAINT PAUL PL,I,OTHER,111
447,3800 SINCLAIR LN,I,OTHER,432
448,2200 EUTAW PL,O,OTHER,133
449,400 W FRANKLIN ST,I,OTHER,111
450,1500 MARSHALL ST,O,OTHER,942
451,4100 HYDEN CT,I,OTHER,913
452,2800 HAMILTON AVE,I,OTHER,423
453,200 S HILTON ST,I,OTHER,842
454,500 N STREEPER ST,I,OTHER,221
455,500 N STREEPER ST,I,OTHER,221
456,5200 FERNPARK AVE,O,OTHER,622
457,1800 MADISON AVE,I,OTHER,132
458,2200 ROUND RD,I,OTHER,922
459,0 N GILMOR ST,I,OTHER,711
460,3000 S HANOVER ST,O,HANDS,922
461,400 S EDEN ST,O,HANDS,211
462,6500 EASTERN AVE,I,OTHER,242
463,200 MASON CT,O,HANDS,211
464,1100 E NORTH AVE,I,OTHER,342
465,2500 EUTAW PL,I,HANDS,133
466,AV & DUNDALK AV,O,HANDS,241
467,3200 WOODRING AVE,O,OTHER,424
468,900 ASHLAND CT,I,HANDS,312
469,5300 BARBARA AVE,I,OTHER,443
470,1100 WASHINGTON BLVD,I,OTHER,932
471,2500 WINCHESTER ST,O,OTHER,723
472,2000 RUXTON AVE,O,OTHER,731
473,800 PARK AVE,I,OTHER,142
474,2000 N BROADWAY,O,FIREARM,342
475,300 LIGHT ST,I,OTHER,112
476,2400 E BIDDLE ST,O,OTHER,331
477,700 N ROSEDALE ST,O,OTHER,814
478,5000 DENVIEW WAY,I,OTHER,444
479,3800 EASTERN AVE,I,KNIFE,231
480,2400 LIBERTY HEIGHTS AVE,O,OTHER,731
481,CALVERT ST & E MONUMENT ST,O,OTHER,142
482,2100 WASHINGTON BLVD,O,OTHER,935
483,1300 E FAYETTE ST,I,OTHER,212
484,2200 W LAFAYETTE AVE,O,OTHER,723
485,6400 HARFORD RD,O,OTHER,424
486,33RD ST & GREENMOUNT AV,I,OTHER,512
487,1100 N WOODINGTON RD,O,OTHER,844
488,1300 N STOCKTON ST,O,FIREARM,743
489,3200 WILKENS AVE,I,OTHER,832
490,4700 HALDANE RD,O,OTHER,442
491,6500 REISTERSTOWN RD,I,OTHER,631
492,MOUNT ST & COLE ST,O,OTHER,935
493,900 WHITELOCK ST,I,OTHER,133
494,900 HOLLINS ST,O,HANDS,931
495,3200 VICKERS RD,O,OTHER,641
496,5200 Bowleys Ln,I,HANDS,443
497,5300 NELSON AVE,I,OTHER,633
498,1800 W PRATT ST,O,OTHER,934
499,400 S STRICKER ST,O,OTHER,935
500,3800 GREENWAY,I,OTHER,542
501,700 LINNARD ST,O,HANDS,844
502,2200 ROSLYN AVE,I,FIREARM,812
503,2900 FREDERICK AVE,O,OTHER,832
504,900 APPLETON ST,O,OTHER,722
505,2000 E MONUMENT ST,I,OTHER,321
506,4800 GREENCREST RD,I,HANDS,444
507,800 WEDGEWOOD RD,O,OTHER,823
508,2000 WHITTIER AVE,O,OTHER,731
509,5400 CEDONIA AVE,O,OTHER,441
510,3300 W BELVEDERE AVE,O,OTHER,614
511,2700 CHESTERFIELD AVE,O,OTHER,432
512,1100 COVINGTON ST,O,FIREARM,943
513,NORTH AV & MADISON AV,O,HANDS,133
514,200 W LANVALE ST,O,HANDS,132
515,3700 EGERTON RD,O,OTHER,642
516,2100 E PRATT ST,O,OTHER,212
517,100 S SCHROEDER ST,O,OTHER,931
518,400 N BELNORD AVE,O,OTHER,221
519,FULTON AV & HOLLINS ST,O,OTHER,711
520,6200 THE ALAMEDA,O,OTHER,414
521,800 RAMSAY ST,I,OTHER,932
522,1500 CLARKSON ST,O,OTHER,943
523,2400 JEFFERSON ST,O,FIREARM,221
524,1800 MOSHER ST,O,OTHER,743
525,1700 N GAY ST,I,OTHER,331
526,3900 LABYRINTH RD,I,OTHER,631
527,2100 MOUNT HOLLY ST,O,OTHER,812
528,5600 PLAINFIELD AVE,I,HANDS,444
529,1300 GUILFORD AVE,O,OTHER,141
530,1700 JOHNSON ST,O,OTHER,942
531,3900 6TH ST,I,OTHER,913
532,5900 BELAIR RD,O,OTHER,425
533,1300 MYRTLE AVE,O,FIREARM,123
534,1000 W LOMBARD ST,O,OTHER,931
535,1600 BUSH ST,I,OTHER,941
536,0 N HOWARD ST,O,OTHER,111
537,3400 PULASKI HWY,O,HANDS,224
538,ST & E FAYETTE ST,O,KNIFE,111
539,1300 MYRTLE AV,O,FIREARM,123
540,2200 WILKENS AV,O,FIREARM,841
541,2200 FREDERICK AVE,O,OTHER,841
542,700 BROOKWOOD RD,O,OTHER,822
543,2400 GARRISON BLVD,I,OTHER,641
544,500 BRISBANE RD,O,OTHER,833
545,6200 RIDGEVIEW AVE,O,OTHER,425
546,3100 WILKENS AVE,O,OTHER,832
547,2600 HUNTINGDON AVE,O,OTHER,511
548,AV & FRANCIS ST,O,OTHER,733
549,2600 W PATAPSCO AVE,I,KNIFE,923
550,3300 DOLFIELD AVE,I,OTHER,643
551,3500 CLIFTMONT AVE,O,OTHER,432
552,1300 DIVISION ST,I,OTHER,123
553,COLD SPRING LN & REISTERSTOWN RD,I,OTHER,614
554,2100 GOUGH ST,I,OTHER,212
555,700 S PONCA ST,I,OTHER,242
556,2900 WINCHESTER ST,I,OTHER,814
557,HILL AV & MOSHER ST,O,OTHER,123
558,2900 EDGECOMBE CIR S,O,KNIFE,532
559,5800 BELAIR RD,I,OTHER,445
560,3700 BOSTON ST,I,OTHER,233
561,3600 E FAYETTE ST,O,OTHER,223
562,500 N HIGHLAND AVE,O,OTHER,224
563,1500 N FREMONT AVE,I,OTHER,742
564,1900 CECIL AVE,O,OTHER,342
565,2200 SIDNEY AVE,I,OTHER,921
566,6700 CROSS COUNTRY BLVD,O,OTHER,632
567,3000 EVERGREEN AVE,O,OTHER,425
568,6900 REISTERSTOWN RD,O,OTHER,631
569,2600 INSULATOR DR,O,OTHER,943
570,600 CHERRYCREST RD,O,HANDS,922
571,600 CHERRYCREST RD,O,OTHER,922
572,3400 WALBROOK AVE,I,OTHER,812
573,1100 QUANTRIL WAY,I,HANDS,433
574,300 MARYDELL RD,O,OTHER,833
575,3600 ELDORADO AVE,I,OTHER,622
576,,O,HANDS,533
577,,O,OTHER,533
578,400 FONTHILL AVE,I,OTHER,832
579,4500 ERDMAN AVE,O,FIREARM,333
580,800 BOYD ST,I,OTHER,931
581,400 FONTHILL AVE,O,OTHER,832
582,900 POPLAR GROVE ST,O,OTHER,814
583,6500 FRANKFORD AVE,I,HANDS,441
584,1100 W PRATT ST,O,HANDS,931
585,400 S SMALLWOOD ST,I,OTHER,841
586,6300 BELAIR RD,O,OTHER,445
587,5900 GLENOAK AVE,I,HANDS,425
588,200 N MONASTERY AVE,I,OTHER,842
589,200 ALBEMARLE ST,I,OTHER,211
590,500 OLD ORCHARD RD,I,OTHER,823
591,3200 BARRINGTON RD,O,FIREARM,643
592,6800 REISTERSTOWN RD,I,OTHER,631
